sample_id,x,y
N0140,-1.56371,-3.491937
N0270,1.709854,5.130943
N0283,2.660129,0.262538
N0107,-0.93026,-1.882462
N0137,-2.979636,-13.359912
N0252,-2.728908,-11.482242
N0218,3.353137,-0.001493
N0031,2.016803,1.291522
N0004,-0.11222,2.121179
N0174,-0.084948,2.581921
N0042,-2.587738,-9.029203
N0033,-2.455898,-8.29265
N0135,-2.397339,-8.176731
N0012,1.759637,3.402572
N0211,2.553107,1.609111
N0256,3.159846,-0.209341
N0152,-1.501527,-5.387818
N0007,2.892916,-0.832811
N0187,-1.070547,-4.529628
N0197,-3.036948,-11.943472
N0227,-2.769912,-13.045457
N0122,2.908709,0.944468
N0108,-0.085291,3.111661
N0266,3.110574,1.690089
N0257,2.10052,-0.775246
N0056,1.241798,5.012544
N0244,1.353387,5.04967
N0226,2.264343,1.796761
N0300,1.178222,4.565043
N0082,2.962555,0.819412
N0292,-2.536589,-10.688456
N0254,-2.760943,-8.817052
N0262,1.649023,1.445746
N0119,-1.768579,-4.691003
N0246,-1.05768,-1.702886
N0126,3.347954,1.789158
N0016,0.4342,6.437442
N0081,-2.914575,-11.618076
N0177,2.385759,1.257907
N0267,0.195274,3.286613
N0178,3.011806,-1.191749
N0073,0.849704,5.5743
N0237,1.396244,5.994546
N0235,-3.21591,-17.250033
N0195,-0.590829,-2.352455
N0015,0.079158,1.772282
N0020,-1.384468,-3.621027
N0026,3.221183,0.627303
N0114,-3.461414,-19.567379
N0128,-1.364205,-3.916711
N0228,2.661882,0.667889
N0167,2.051334,1.058632
N0224,-3.361991,-17.770675
N0055,-1.492341,-5.378099
N0212,0.705336,5.979929
N0025,1.252916,3.913021
N0118,-2.506055,-8.057672
N0084,3.201572,-0.564868
N0094,-1.103552,-2.702241
N0179,-2.628422,-10.676981
N0209,-2.239588,-7.394482
N0264,-1.014828,-2.304673
N0231,3.29223,0.314717
N0023,-3.414055,-18.997257
N0160,-2.216253,-6.707752
N0207,-1.271775,-3.581502
N0010,2.690998,0.326066
N0043,-0.907934,-1.29518
N0273,-1.858449,-2.79479
N0223,0.375859,5.43073
N0277,0.220909,2.326315
N0286,-0.127386,0.722554
N0198,0.461279,2.103229
N0089,-0.926716,-3.419823
N0274,3.044728,-1.306512
N0018,-1.304124,-3.592079
N0255,-2.701813,-9.571917
N0105,-0.239918,1.556567
N0121,1.253565,7.992944
N0176,0.625359,4.33575
N0190,-0.20531,-0.114137
N0259,2.424992,1.01167
N0097,0.366042,2.147496
N0051,3.310038,-1.055475
N0233,-3.098663,-15.470229
N0054,-1.784377,-6.695062
N0131,3.26589,-0.118929
N0070,-2.297504,-7.92998
N0156,-1.26849,-4.817489
N0236,-2.579093,-10.575127
N0229,1.65596,5.607352
N0242,2.486185,2.165872
N0044,3.049419,0.475967
N0079,-2.391857,-6.437943
N0028,-2.016799,-4.204828
N0078,1.771216,5.040297
N0278,-1.513082,-4.152902
N0080,-0.246956,1.364504
N0036,1.301203,5.040966
N0250,3.254122,0.045093
N0225,2.937054,0.869791
N0062,2.352304,0.99267
N0271,3.226228,0.378077
N0276,2.506972,0.424174
N0196,-1.237896,-3.946621
N0136,1.957675,0.962358
N0238,-3.14022,-16.261861
N0113,2.384437,1.028284
N0232,1.059031,4.567195
N0161,-2.630754,-7.457727
N0057,-2.877438,-8.505365
N0200,1.066129,4.523536
N0103,-2.236756,-4.168837
N0157,2.456041,3.341943
N0039,0.283832,3.369759
N0150,3.32543,3.159752
N0204,1.390714,3.965001
N0290,-1.87304,-6.937855
N0222,0.911304,4.793284
N0189,-0.204244,0.386648
N0219,2.375517,1.026303
N0060,-0.678745,-1.462747
N0289,-1.461306,-4.987778
N0096,-1.980775,-6.530504
N0101,3.093414,-0.507631
N0192,1.77172,4.86155
N0154,-1.519928,-2.059269
N0115,-2.722824,-9.957455
N0134,1.09824,3.999565
N0147,1.487123,4.806859
N0032,-2.002906,-3.943538
N0145,0.974062,5.529122
N0159,-2.806324,-12.864006
N0241,0.334661,4.04432
N0214,3.256488,1.662713
N0162,-2.816612,-10.666684
N0127,-1.74437,-3.392441
N0088,-0.744468,-1.889024
N0170,-0.994843,-3.616908
N0074,-3.296811,-15.231741
N0243,-1.575891,-4.370764
N0272,1.794484,3.987379
N0068,1.46413,4.1896
N0067,-0.491555,-0.977741
N0202,0.615019,2.849233
N0069,0.358039,4.331606
N0239,-3.451887,-19.811681
N0130,2.996158,-0.007624
N0071,2.786913,2.084051
N0194,1.173071,5.066788
N0166,-1.379185,-0.426346
N0049,3.419674,1.41484
N0076,1.058176,4.170798
N0052,0.309201,1.808993
N0205,0.412398,3.17337
N0102,3.227015,1.400499
N0091,2.752697,1.286733
N0029,-3.013675,-11.479005
