observation_id,x,sensor_quality,post_event_target_proxy,y
P0228,-0.878726,0.944466,6.584386,6.599399
P0119,-1.365659,0.914141,11.253919,11.204242
P0194,0.34886,0.980891,7.586494,7.685928
P0003,3.563233,0.831492,5.749966,5.671186
P0229,1.421978,0.770869,8.083376,8.01667
P0191,-2.804145,0.767825,17.724549,17.662487
P0253,1.008469,0.863366,9.662873,9.682567
P0012,-0.243163,0.955963,7.370281,7.343266
P0076,0.832935,0.797874,11.117887,11.156408
P0029,-2.979278,0.745638,18.501267,18.673241
P0200,-2.600755,0.927594,18.848191,18.843818
P0250,-1.908615,0.799627,13.90548,13.874194
P0099,2.224506,0.869348,7.21402,7.16129
P0168,-1.339798,0.748878,8.11283,8.014297
P0132,-0.998588,0.810999,9.516582,9.484806
P0237,-2.434369,0.672412,17.967858,17.91874
P0011,0.721931,0.943188,8.091753,8.106918
P0050,3.836549,0.868204,6.922938,6.901578
P0118,2.392397,0.71075,3.870073,3.821592
P0102,0.818124,0.931638,8.832264,8.837288
P0073,3.723617,0.988546,7.181901,7.050293
P0095,1.489064,0.663806,6.828362,6.732193
P0236,-3.296881,0.694037,22.144166,22.146641
P0087,0.901206,0.709484,8.652626,8.599252
P0019,-1.656707,0.998204,13.748909,13.700017
P0033,2.788383,0.982142,4.818061,4.677031
P0257,-2.584336,0.741288,18.643211,18.825742
P0032,-2.34371,0.714393,16.07991,16.201119
P0230,3.018979,0.954233,7.182456,7.132747
P0067,2.412657,0.915425,3.406327,3.470293
P0146,1.161025,0.812601,8.653557,8.686889
P0176,1.301984,0.749744,8.811582,8.78947
P0208,0.015584,0.824321,7.999674,8.125895
P0247,-0.054349,0.840877,9.325901,9.318002
P0134,0.175818,0.912467,7.969779,7.982321
P0173,3.402782,0.900215,7.465403,7.456916
P0093,0.890956,0.985193,7.646239,7.80436
P0017,1.167796,0.822239,8.64389,8.790477
P0248,-1.001995,0.802883,7.895041,7.888745
P0052,-2.291541,0.886333,17.364553,17.378383
P0182,0.644026,0.725164,7.855802,7.74227
P0040,1.594973,0.753716,6.941766,6.946462
P0164,-3.662675,0.784574,21.342439,21.42242
P0122,1.7887,0.835894,6.683373,6.748289
P0020,0.25042,0.808599,8.439749,8.46024
P0015,-3.706403,0.855317,23.078587,23.042835
P0112,0.010037,0.665493,8.182219,8.146839
P0226,2.298279,0.75609,6.948757,6.884231
P0054,0.642482,0.835907,7.17656,6.938788
P0154,2.522249,0.83426,6.536571,6.57619
P0002,1.00589,0.950337,8.545292,8.479779
P0127,-0.236112,0.805208,8.99563,8.951618
P0096,0.26474,0.910059,8.612524,8.546342
P0242,-0.077054,0.6631,6.500355,6.449459
P0211,0.450508,0.887819,9.726706,9.641035
P0085,2.927086,0.748285,8.136169,8.027886
P0136,-2.122447,0.845944,14.189872,14.185161
P0022,-1.713831,0.71142,13.477153,13.442255
P0205,3.196923,0.685259,4.971103,5.047694
P0014,-2.666365,0.676893,19.470671,19.520329
P0259,1.069669,0.938667,8.150378,8.173746
P0246,-3.642806,0.65959,23.727248,23.670051
P0047,-2.897057,0.811646,18.233744,18.081047
P0117,-1.127954,0.757883,9.603429,9.574525
P0081,-1.924144,0.859779,15.377705,15.394074
P0224,-0.700924,0.650601,5.512022,5.398662
P0216,-2.315057,0.690829,17.451852,17.613023
P0207,0.051136,0.871636,9.520391,9.56365
P0163,-3.858988,0.957756,24.38604,24.412856
P0213,-3.598137,0.969056,21.920746,22.021477
P0165,3.548083,0.981978,7.487023,7.391606
P0185,-0.221179,0.845926,7.924586,7.957518
P0159,-2.235951,0.762241,18.663104,18.528069
P0104,1.956103,0.856377,4.38866,4.264129
P0101,2.191287,0.697897,3.914888,3.933317
P0215,-0.875029,0.987547,9.785159,9.69412
P0152,-1.035394,0.96466,5.33343,5.198663
P0037,3.614785,0.792352,9.76389,9.562069
P0222,-3.534813,0.788177,23.480472,23.552312
P0210,-2.30353,0.955426,17.669222,17.649557
P0007,2.79312,0.934988,8.147498,8.261766
P0209,1.51721,0.669125,7.527585,7.549269
P0106,2.351387,0.894662,5.017789,5.019466
P0034,0.890474,0.789029,9.046986,9.059605
P0107,-0.937957,0.877067,10.450357,10.455343
P0125,3.632275,0.944416,6.864366,6.765708
P0082,-3.180976,0.710006,19.325645,19.348916
P0196,1.019188,0.721482,9.085335,9.094592
P0233,-1.461476,0.872027,9.897537,9.827653
P0035,-1.699836,0.719977,12.003136,12.026888
P0005,-3.692241,0.91588,25.343809,25.264092
P0240,1.287583,0.869501,5.680394,5.746495
P0055,-1.952436,0.808895,14.608245,14.518464
P0139,-0.651586,0.692846,5.56446,5.732691
P0156,-2.009883,0.765973,15.381481,15.378917
P0043,1.011758,0.923937,8.611221,8.66558
P0070,3.343721,0.947061,6.036708,5.921329
P0077,-0.329579,0.774277,5.401055,5.405738
P0049,-2.057484,0.716368,14.684107,14.680136
P0018,0.788752,0.71393,8.617861,8.71217
P0030,3.805998,0.917281,7.513347,7.416756
P0108,2.941253,0.99127,6.416876,6.449126
P0225,2.331661,0.916857,6.948054,6.706751
P0160,3.677581,0.662113,9.996678,10.044056
P0131,-2.737635,0.787304,17.843793,17.795992
P0241,-3.285283,0.788711,18.167877,18.222734
P0153,-1.380164,0.706965,10.536385,10.547584
P0039,-0.158056,0.751825,6.531098,6.462825
P0090,2.479265,0.871663,7.956905,7.899838
P0142,0.439686,0.93187,8.17789,8.216881
P0178,-1.862789,0.814306,13.678673,13.69074
P0121,1.227417,0.996183,7.993577,7.91563
P0009,-1.861833,0.882564,16.331279,16.359321
P0071,-1.600604,0.811368,10.801214,10.819627
P0141,2.796017,0.791406,4.89593,4.992518
P0113,-3.900476,0.87817,23.997478,23.961021
P0223,-1.504291,0.831318,13.551422,13.615245
P0151,-0.668113,0.701403,6.032043,6.033556
P0075,3.678807,0.717813,9.624765,9.558338
P0115,-2.813612,0.731138,18.97491,19.000504
P0161,-0.108692,0.803488,6.659771,6.652876
P0234,1.373903,0.979276,6.611888,6.694721
P0239,-2.102908,0.670524,14.919431,14.891542
P0078,-1.131182,0.962161,10.776241,10.896695
P0202,2.800551,0.783597,5.207205,5.161117
P0180,-0.998157,0.707913,5.613643,5.736096
P0147,-0.864389,0.674596,6.487139,6.615625
P0091,-2.28365,0.931093,17.117031,17.08456
P0129,-1.361328,0.756116,9.665956,9.656666
P0057,2.832756,0.71927,8.251144,8.336544
P0175,2.224153,0.65772,4.471033,4.376526
P0258,-2.484669,0.820525,17.855548,17.840569
P0130,0.944428,0.763075,9.29972,9.419705
P0089,0.172249,0.692839,7.562797,7.536212
P0023,-3.923195,0.765272,23.180769,23.147685
P0197,0.735397,0.906117,7.916089,7.853538
P0157,-2.505356,0.826806,17.033372,17.107653
P0218,3.463535,0.767421,7.818799,7.815364
P0042,2.673556,0.850024,5.879275,5.883239
P0103,0.70726,0.893865,10.400682,10.520591
P0148,2.058354,0.958776,4.753633,4.830195
P0256,-1.092993,0.877427,7.941166,7.934014
P0214,-0.52378,0.83469,5.083197,4.983448
P0193,-1.499901,0.919141,11.38205,11.221664
P0080,-0.890889,0.717538,8.520415,8.614197
P0252,-1.020664,0.818501,8.976398,8.900113
P0092,0.212843,0.92555,9.61619,9.652444
P0100,-3.260097,0.673918,20.322005,20.234926
P0158,-0.753881,0.851663,7.892173,7.822121
P0260,-1.846065,0.839084,13.445986,13.628186
P0199,-0.270148,0.876979,8.112944,8.056477
P0232,3.842021,0.951089,10.381994,10.38234
P0170,-2.625323,0.903283,18.072585,18.092789
P0021,-3.537435,0.932452,23.984212,23.998848
P0074,-2.155793,0.77597,15.930658,16.002558
P0206,-0.80289,0.890277,7.648567,7.629072
P0051,-0.033315,0.706313,5.882992,5.861394
P0238,-2.309864,0.968512,15.022741,14.989551
P0172,-1.73444,0.981366,13.580472,13.539758
P0041,3.637773,0.715168,8.791004,8.777683
P0167,1.14313,0.844302,7.201392,7.312463
P0245,-3.579282,0.920031,22.197846,22.195308
P0016,-0.483196,0.873694,7.22412,7.136565
P0109,-0.379827,0.663267,5.418645,5.531353
P0111,3.781466,0.660449,8.903274,8.871604
P0143,2.935523,0.838869,4.409679,4.379627
P0140,-0.391688,0.849282,9.79581,9.826739
P0086,-1.966455,0.783966,14.787604,14.686474
P0128,3.184806,0.957349,6.204486,6.095173
P0061,-3.258752,0.930886,20.587917,20.621277
P0137,-2.284956,0.747558,17.367965,17.359475
P0217,3.719202,0.832208,7.29348,7.187683
P0150,3.335466,0.778408,5.822987,5.851998
P0116,-0.281395,0.664408,6.617726,6.673827
P0221,-3.167027,0.988257,21.118964,20.967582
P0048,0.999268,0.846203,8.473909,8.543912
P0227,-3.385393,0.935961,21.206301,21.207245
P0026,-0.038123,0.823329,7.988475,7.990475
P0195,-0.626471,0.787131,8.213593,8.139024
P0056,0.134891,0.928967,6.983456,7.046842
P0251,3.606959,0.716294,8.484738,8.38793
P0145,1.715281,0.903381,8.287002,8.367901
P0013,1.388947,0.769045,9.010289,9.029052
P0149,-0.354867,0.697654,5.643047,5.685788
P0124,-1.580313,0.990791,14.171447,14.234109
